x,y,z,estimate,variance
150.00,-240.00,1840.00,1.99979,1.87002
170.00,-240.00,1840.00,1.99979,1.87002
190.00,-240.00,1840.00,1.99979,1.87002
210.00,-240.00,1840.00,1.99979,1.87002
130.00,-220.00,1840.00,1.99979,1.87002
150.00,-220.00,1840.00,1.99979,1.87002
170.00,-220.00,1840.00,2.03416,1.81235
190.00,-220.00,1840.00,2.03416,1.81235
210.00,-220.00,1840.00,1.99979,1.87002
230.00,-220.00,1840.00,1.99979,1.87002
130.00,-200.00,1840.00,1.99979,1.87002
150.00,-200.00,1840.00,2.03416,1.81235
170.00,-200.00,1840.00,2.03416,1.81235
190.00,-200.00,1840.00,2.03416,1.81235
210.00,-200.00,1840.00,2.03416,1.81235
230.00,-200.00,1840.00,1.99979,1.87002
130.00,-180.00,1840.00,3.33375,1.46634
150.00,-180.00,1840.00,3.30389,1.44920
170.00,-180.00,1840.00,2.36472,1.42115
190.00,-180.00,1840.00,3.30389,1.44920
210.00,-180.00,1840.00,3.30389,1.44920
230.00,-180.00,1840.00,1.99979,1.87002
130.00,-160.00,1840.00,2.32558,1.46643
150.00,-160.00,1840.00,2.03184,1.42123
170.00,-160.00,1840.00,2.03184,1.42123
190.00,-160.00,1840.00,2.04885,1.40725
210.00,-160.00,1840.00,2.35871,1.43615
230.00,-160.00,1840.00,3.33375,1.46634
110.00,-140.00,1840.00,2.71603,1.87003
130.00,-140.00,1840.00,1.97768,1.44937
150.00,-140.00,1840.00,1.97768,1.44937
170.00,-140.00,1840.00,1.94822,1.41010
190.00,-140.00,1840.00,2.03184,1.42123
210.00,-140.00,1840.00,1.97768,1.44937
230.00,-140.00,1840.00,2.32558,1.46643
110.00,-120.00,1840.00,2.71603,1.87003
130.00,-120.00,1840.00,2.06038,1.81235
150.00,-120.00,1840.00,1.90160,1.77190
170.00,-120.00,1840.00,1.89009,1.43668
190.00,-120.00,1840.00,1.89009,1.43668
210.00,-120.00,1840.00,1.90160,1.77190
230.00,-120.00,1840.00,2.06038,1.81235
250.00,-120.00,1840.00,2.71603,1.87003
110.00,-100.00,1840.00,2.06038,1.81235
130.00,-100.00,1840.00,1.90160,1.77190
150.00,-100.00,1840.00,1.90160,1.77190
170.00,-100.00,1840.00,1.90160,1.77190
190.00,-100.00,1840.00,1.90160,1.77190
210.00,-100.00,1840.00,1.90160,1.77190
230.00,-100.00,1840.00,2.06038,1.81235
250.00,-100.00,1840.00,2.71603,1.87003
110.00,-80.00,1840.00,2.71603,1.87003
130.00,-80.00,1840.00,2.06038,1.81235
150.00,-80.00,1840.00,1.90160,1.77190
170.00,-80.00,1840.00,1.90160,1.77190
190.00,-80.00,1840.00,1.90160,1.77190
210.00,-80.00,1840.00,1.90160,1.77190
230.00,-80.00,1840.00,2.06038,1.81235
250.00,-80.00,1840.00,2.71603,1.87003
110.00,-60.00,1840.00,2.71603,1.87003
130.00,-60.00,1840.00,1.16136,1.44823
150.00,-60.00,1840.00,1.16136,1.44823
170.00,-60.00,1840.00,1.09701,1.43564
190.00,-60.00,1840.00,1.16136,1.44823
210.00,-60.00,1840.00,2.06038,1.81235
230.00,-60.00,1840.00,2.71603,1.87003
110.00,-40.00,1840.00,2.46101,1.50000
130.00,-40.00,1840.00,1.44418,1.43501
150.00,-40.00,1840.00,1.14872,1.42010
170.00,-40.00,1840.00,1.14872,1.42010
190.00,-40.00,1840.00,1.14872,1.42010
210.00,-40.00,1840.00,1.47784,1.46525
110.00,-20.00,1840.00,0.17234,1.87003
130.00,-20.00,1840.00,2.35668,1.46525
150.00,-20.00,1840.00,2.24649,1.44823
170.00,-20.00,1840.00,1.37219,1.42010
190.00,-20.00,1840.00,2.35668,1.46525
210.00,-20.00,1840.00,2.35668,1.46525
90.00,0.00,1840.00,0.66827,1.50000
110.00,0.00,1840.00,0.17234,1.87003
130.00,0.00,1840.00,0.11745,1.81235
150.00,0.00,1840.00,0.11745,1.81235
170.00,0.00,1840.00,0.11745,1.81235
190.00,0.00,1840.00,0.17234,1.87003
210.00,0.00,1840.00,0.17234,1.87003
30.00,20.00,1840.00,1.35004,1.87003
50.00,20.00,1840.00,1.35004,1.87003
70.00,20.00,1840.00,1.35004,1.87003
90.00,20.00,1840.00,0.74737,1.46525
110.00,20.00,1840.00,0.76119,1.43501
130.00,20.00,1840.00,0.68854,1.46525
150.00,20.00,1840.00,0.11745,1.81235
170.00,20.00,1840.00,0.11745,1.81235
