x,y,z,clay,chalcosite,bornite,chalcopyrite
-2.925358,-409.125533,2564.285338,4.096384,0.002057,0.521944,4.996142
-4.589996,-409.094821,2559.570676,3.023612,0.001831,0.528908,5.592148
-6.254633,-409.064110,2554.856014,3.767818,0.001877,0.102602,3.851246
-7.919271,-409.033399,2550.141352,7.426675,0.001886,0.338834,5.067521
-9.583908,-409.002688,2545.426689,4.349824,0.001810,0.045711,4.996456
-11.248546,-408.971976,2540.712027,7.765743,0.002011,0.019852,3.547320
-12.913183,-408.941265,2535.997365,11.161788,0.002008,0.195690,2.409171
-14.577821,-408.910554,2531.282703,7.580278,0.001828,0.063412,2.009711
-16.242458,-408.879843,2526.568041,8.438723,0.000500,0.000552,0.273759
-17.907096,-408.849131,2521.853379,11.965491,0.000464,0.001915,0.290063
-19.571733,-408.818420,2517.138717,5.663322,0.000518,0.002101,0.400277
-21.236371,-408.787709,2512.424055,5.772948,0.000470,0.052817,0.373180
-22.901008,-408.756998,2507.709393,5.772948,0.000470,0.052817,0.373180
-24.565646,-408.726286,2502.994730,3.595372,0.000480,0.005604,0.335397
-26.230283,-408.695575,2498.280068,2.716630,0.000512,0.072927,0.297713
-27.894921,-408.664864,2493.565406,2.396619,0.000479,0.034428,0.216994
-29.559558,-408.634153,2488.850744,1.906834,0.000509,0.015583,0.180430
-31.224196,-408.603441,2484.136082,1.453692,0.000468,0.059769,0.163155
-32.888833,-408.572730,2479.421420,1.063485,0.000502,0.073794,0.258945
-34.553471,-408.542019,2474.706758,2.170278,0.000505,0.094136,0.275169
-36.218108,-408.511308,2469.992096,1.842390,0.000513,0.137198,0.207279
-37.882746,-408.480596,2465.277434,1.804624,0.000505,0.161813,0.187009
-39.547383,-408.449885,2460.562771,0.418590,0.000498,0.111056,0.260047
-41.212021,-408.419174,2455.848109,1.633752,0.000490,0.078640,0.216663
-42.876658,-408.388463,2451.133447,1.585576,0.000476,0.113626,0.201492
-44.541296,-408.357751,2446.418785,1.596754,0.000486,0.100703,0.189914
-46.205933,-408.327040,2441.704123,2.670438,0.000497,0.079852,0.270645
-47.870571,-408.296329,2436.989461,2.618249,0.000505,0.087369,0.275289
-49.535208,-408.265618,2432.274799,1.001982,0.000464,0.102298,0.272817
-51.199846,-408.234906,2427.560137,1.001982,0.000464,0.102298,0.272817
-52.864483,-408.204195,2422.845475,2.306250,0.000484,0.061664,0.258604
-54.529121,-408.173484,2418.130812,2.496138,0.000472,0.066632,0.276589
-56.193758,-408.142773,2413.416150,1.805805,0.000458,0.004751,0.263762
-57.858396,-408.112062,2408.701488,3.475710,0.000501,0.002316,0.357093
-59.523033,-408.081350,2403.986826,5.712918,0.000423,0.039385,0.268057
-61.187671,-408.050639,2399.272164,7.328077,0.000481,0.056028,0.352317
-62.852308,-408.019928,2394.557502,10.090963,0.000480,0.002047,0.292965
-64.516945,-407.989217,2389.842840,5.296377,0.000474,0.000970,0.244130
-66.181583,-407.958505,2385.128178,8.077067,0.000461,0.000528,0.380972
-67.846220,-407.927794,2380.413516,6.559868,0.000431,0.000462,0.443510
-69.510858,-407.897083,2375.698853,7.150833,0.000499,0.000520,0.494915
-71.175495,-407.866372,2370.984191,7.623202,0.000498,0.000548,0.545138
-72.840133,-407.835660,2366.269529,3.653347,0.003253,0.001889,1.335230
-74.504770,-407.804949,2361.554867,4.818342,0.000494,0.000507,0.391922
-76.169408,-407.774238,2356.840205,5.099751,0.003329,0.001929,2.356603
-77.834045,-407.743527,2352.125543,7.962690,0.003500,0.002038,1.868593
-79.498683,-407.712815,2347.410881,6.602324,0.003578,0.002133,2.391564
-81.163320,-407.682104,2342.696219,6.602324,0.003578,0.002133,2.391564
-82.827958,-407.651393,2337.981557,10.396890,0.003815,0.002286,1.959977
-84.492595,-407.620682,2333.266894,6.548977,0.003291,0.002019,1.680387
-86.157233,-407.589970,2328.552232,17.682578,0.003587,0.192123,1.576593
-87.821870,-407.559259,2323.837570,12.550713,0.002019,0.692469,4.719257
-89.486508,-407.528548,2319.122908,7.096078,0.001890,0.873499,4.050313
-91.151145,-407.497837,2314.408246,8.663722,0.001903,0.965093,3.623749
-92.815783,-407.467125,2309.693584,4.978178,0.002146,1.375165,3.704354
-94.480420,-407.436414,2304.978922,3.817253,0.001918,1.472493,4.168641
-96.145058,-407.405703,2300.264260,1.979043,0.002039,1.530844,2.450107
-97.809695,-407.374992,2295.549598,1.753461,0.004207,1.111147,2.746242
-99.474333,-407.344280,2290.834935,1.222183,0.004039,1.693595,3.007872
-101.138970,-407.313569,2286.120273,1.607561,0.002124,1.112795,2.423819
-99.962494,-355.334574,2562.192620,0.532220,0.000631,0.000991,0.260709
-101.336830,-355.317468,2557.385239,0.465018,0.015001,0.000594,0.149630
-102.711167,-355.300361,2552.577859,0.465018,0.015001,0.000594,0.149630
-104.085504,-355.283254,2547.770479,0.823231,0.010684,0.000698,0.120386
-105.459841,-355.266147,2542.963098,0.556046,0.000523,0.000506,0.274214
-106.834178,-355.249040,2538.155718,0.303964,0.005668,0.000495,0.154239
-108.208514,-355.231934,2533.348338,0.005073,0.061987,0.000518,0.089123
-109.582851,-355.214827,2528.540957,0.004592,0.082453,0.000949,0.081104
-110.957188,-355.197720,2523.733577,0.004661,0.101808,0.053549,0.161482
-112.331525,-355.180613,2518.926197,0.005144,0.082739,0.002106,0.201803
-113.705862,-355.163506,2514.118816,0.004785,0.047814,0.000534,0.241035
-115.080199,-355.146399,2509.311436,0.004953,0.006789,0.000504,0.293770
-116.454535,-355.129293,2504.504056,0.004568,0.005956,0.000460,0.258776
-117.828872,-355.112186,2499.696675,0.004714,0.005934,0.000466,0.266925
-119.203209,-355.095079,2494.889295,0.004850,0.007744,0.000469,0.207013
